"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","677","adminCannotGetNotExistingProjectByIdTest()","","2026-07-29","passed","2026-07-29","","api.project.GetProjectTest","api.project.GetProjectTest","adminCannotGetNotExistingProjectByIdTest"
"","0","cannotCreateStepWithInvalidBasicCredentialsTest()","","2026-07-29","skipped","2026-07-29","","api.ConfigStepsTest","api.ConfigStepsTest","cannotCreateStepWithInvalidBasicCredentialsTest"
"","0","cannotGetConfigStepWithoutAuthTest()","","2026-07-29","skipped","2026-07-29","","api.ConfigStepsTest","api.ConfigStepsTest","cannotGetConfigStepWithoutAuthTest"
"","2563","adminCanCreateProjectWithAllParamsTest()","","2026-07-29","passed","2026-07-29","","api.project.PostProjectTest","api.project.PostProjectTest","adminCanCreateProjectWithAllParamsTest"
"","20757","testBuildResume()","","2026-07-29","passed","2026-07-29","","api.buildRun.RegularBuildRunTest","api.buildRun.RegularBuildRunTest","testBuildResume"
"","0","viewerCannotUpdateStepTest()","","2026-07-29","skipped","2026-07-29","","api.ConfigStepsTest","api.ConfigStepsTest","viewerCannotUpdateStepTest"
"","3669","configStepSuccessfullyUpdateTypeTest()","","2026-07-29","passed","2026-07-29","","api.ConfigStepsTest","api.ConfigStepsTest","configStepSuccessfullyUpdateTypeTest"
"","125","basicAuthInvalidDataTest(String, String, String) Negative tests: wrong username","","2026-07-29","passed","2026-07-29","","api.authorization.AuthorizationUserTest","api.authorization.AuthorizationUserTest","basicAuthInvalidDataTest"
"","11213","userCannotCreateProjectWithInvalidIdTest()","","2026-07-29","passed","2026-07-29","","ui.project.CreateProjectTest","ui.project.CreateProjectTest","userCannotCreateProjectWithInvalidIdTest"
"","57846","buildConfigurationCanBeCreatedTest()","","2026-07-29","passed","2026-07-29","","ui.BuildConfigurationTest","ui.BuildConfigurationTest","buildConfigurationCanBeCreatedTest"
"","51094","buildRunTest()","","2026-07-29","broken","2026-07-29","","ui.buildRun.RegularBuildRunTest","ui.buildRun.RegularBuildRunTest","buildRunTest"
"","0","cannotGetNonExistingStepTest()","","2026-07-29","skipped","2026-07-29","","api.ConfigStepsTest","api.ConfigStepsTest","cannotGetNonExistingStepTest"
