"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","519","adminCannotDoCRUDOperationsWithoutAuthTest()","","2026-07-10","passed","2026-07-10","","api.project.ProjectTest","api.project.ProjectTest","adminCannotDoCRUDOperationsWithoutAuthTest"
"","235","adminCannotGetNotExistingProjectByIdTest()","","2026-07-10","passed","2026-07-10","","api.project.ProjectTest","api.project.ProjectTest","adminCannotGetNotExistingProjectByIdTest"
"","9735","adminCanCreateProjectAndGetItByIdTest()","","2026-07-10","passed","2026-07-10","","api.project.ProjectTest","api.project.ProjectTest","adminCanCreateProjectAndGetItByIdTest"
"","575","adminCannotDeleteNotExistingProjectByIdTest()","","2026-07-10","passed","2026-07-10","","api.project.ProjectTest","api.project.ProjectTest","adminCannotDeleteNotExistingProjectByIdTest"
"","2728","adminCanCreateProjectOnlyWithMandatoryParamsTest()","","2026-07-10","passed","2026-07-10","","api.project.ProjectTest","api.project.ProjectTest","adminCanCreateProjectOnlyWithMandatoryParamsTest"
"","4230","userCanCopyBuildConfiguration()","","2026-07-10","passed","2026-07-10","","api.build.BuildConfigurationTest","api.build.BuildConfigurationTest","userCanCopyBuildConfiguration"
"","339","basicAuthInvalidDataTest(String, String, String) Negative tests: wrong password","","2026-07-10","passed","2026-07-10","","api.authorization.AuthorizationUserTest","api.authorization.AuthorizationUserTest","basicAuthInvalidDataTest"
"","111","adminCannotGetProjectWithWrongLocator()","","2026-07-10","passed","2026-07-10","","api.project.ProjectTest","api.project.ProjectTest","adminCannotGetProjectWithWrongLocator"
"","1116","adminCannotCreateProjectWithTheSameNameTest()","","2026-07-10","passed","2026-07-10","","api.project.ProjectTest","api.project.ProjectTest","adminCannotCreateProjectWithTheSameNameTest"
"","959","userCanDeleteBuildConfiguration()","","2026-07-10","passed","2026-07-10","","api.build.BuildConfigurationTest","api.build.BuildConfigurationTest","userCanDeleteBuildConfiguration"
"","7110","bearerTokenAuthTest()","","2026-07-10","passed","2026-07-10","","api.authorization.AuthorizationUserTest","api.authorization.AuthorizationUserTest","bearerTokenAuthTest"
"","216","basicAuthInvalidDataTest(String, String, String) Negative tests: all wrong","","2026-07-10","passed","2026-07-10","","api.authorization.AuthorizationUserTest","api.authorization.AuthorizationUserTest","basicAuthInvalidDataTest"
"","1298","userCanCreateBuildConfiguration()","","2026-07-10","passed","2026-07-10","","api.build.BuildConfigurationTest","api.build.BuildConfigurationTest","userCanCreateBuildConfiguration"
"","2253","userCannotCreateBuildConfigurationWithInvalidId()","","2026-07-10","passed","2026-07-10","","api.build.BuildConfigurationTest","api.build.BuildConfigurationTest","userCannotCreateBuildConfigurationWithInvalidId"
"","6065","basicAuthInvalidDataTest(String, String, String) Negative tests: wrong username","","2026-07-10","passed","2026-07-10","","api.authorization.AuthorizationUserTest","api.authorization.AuthorizationUserTest","basicAuthInvalidDataTest"
"","10445","userCannotCreateBuildConfigurationWithDuplicateId()","","2026-07-10","passed","2026-07-10","","api.build.BuildConfigurationTest","api.build.BuildConfigurationTest","userCannotCreateBuildConfigurationWithDuplicateId"
"","6079","invalidBearerTokenAuthTest()","","2026-07-10","passed","2026-07-10","","api.authorization.AuthorizationUserTest","api.authorization.AuthorizationUserTest","invalidBearerTokenAuthTest"
"","791","basicAuthTest()","","2026-07-10","passed","2026-07-10","","api.authorization.AuthorizationUserTest","api.authorization.AuthorizationUserTest","basicAuthTest"
